id;dimensions;
1;72;
2;59;
3;105;
4;257;
5;44;
6;156;
7;190;
8;112;
9;187;
10;292;
11;285;
12;191;
13;194;
14;230;
15;130;
16;322;
17;186;
18;148;
19;142;
20;148;
21;122;
22;29;
23;104;
24;299;
25;204;
26;68;
27;67;
28;186;
29;219;
30;73;
31;326;
32;216;
33;147;
34;149;
35;243;
36;172;
37;185;
38;356;
39;251;
40;178;
41;197;
42;180;
43;325;
44;195;
45;125;
46;168;
47;227;
48;63;
49;75;
50;89;
51;190;
52;76;
53;313;
54;84;
55;81;
56;300;
57;221;
58;278;
59;273;
60;295;
61;177;
62;235;
63;258;
64;197;
65;244;
66;430;
67;285;
68;116;
69;107;
70;115;
71;38;
72;95;
73;211;
74;66;
75;260;
76;264;
77;62;
78;237;
79;168;
80;256;
81;136;
82;251;
83;158;
84;18;
85;245;
86;77;
87;160;
88;226;
89;270;
90;63;
91;239;
92;154;
93;118;
94;64;
95;167;
96;98;
97;333;
98;158;
99;358;
100;362;
101;267;
102;43;
103;429;
104;132;
105;136;
106;120;
107;302;
108;71;
109;182;
110;128;
111;124;
112;173;
113;61;
114;232;
115;341;
116;141;
117;296;
118;287;
119;253;
120;244;
121;254;
122;62;
123;36;
124;37;
125;118;
126;129;
127;336;
128;149;
129;269;
130;29;
131;104;
132;357;
133;277;
134;77;
135;228;
136;183;
137;337;
138;197;
139;128;
140;283;
141;192;
142;104;
143;208;
144;205;
145;240;
146;120;
147;155;
148;309;
149;179;
150;274;
151;231;
152;215;
153;83;
154;206;
155;111;
156;59;
157;271;
158;112;
159;183;
160;171;
161;77;
162;278;
163;215;
164;143;
165;228;
166;37;
167;287;
168;228;
169;56;
170;321;
171;71;
172;245;
173;116;
174;181;
175;381;
176;180;
177;88;
178;317;
179;170;
180;129;
181;88;
182;38;
183;14;
184;37;
185;148;
186;126;
187;351;
188;135;
189;331;
190;135;
191;245;
192;113;
193;96;
194;199;
195;344;
196;174;
197;292;
198;182;
199;143;
200;321;
201;399;
202;89;
203;104;
204;191;
205;251;
206;210;
207;86;
208;165;
209;71;
210;70;
211;83;
212;85;
213;100;
214;155;
215;105;
216;323;
217;35;
218;162;
219;130;
220;71;
221;387;
222;120;
223;214;
224;225;
225;464;
226;155;
227;145;
228;213;
229;295;
230;195;
231;56;
232;240;
233;174;
234;62;
235;369;
236;300;
237;64;
238;116;
239;221;
240;287;
241;147;
242;101;
243;59;
244;252;
245;139;
246;52;
247;225;
248;266;
249;190;
250;88;
251;304;
252;123;
253;199;
254;176;
255;292;
256;190;
257;50;
258;44;
259;170;
260;324;
261;127;
262;56;
263;81;
