Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
2.059; 2.059; N/A; N/A; N/A; N/A; 0.13; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__dbscan__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_49_24.txt
7.899; 7.899; N/A; N/A; N/A; N/A; 0.244333; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__dbscan__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_50_25.txt
33.2067; 33.2067; N/A; N/A; N/A; N/A; 0.499; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 9.077; N/A; N/A; N/A; 5; 0; 0; false; properties/0003__dbscan__karypis_sport__sparse__4000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_53_14.txt
76.0347; 76.0347; N/A; N/A; N/A; N/A; 0.686667; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 9.077; N/A; N/A; N/A; 5; 0; 0; false; properties/0004__dbscan__karypis_sport__sparse__6000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_59_21.txt
137.519; 137.519; N/A; N/A; N/A; N/A; 0.946333; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 8000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 11.907; N/A; N/A; N/A; 5; 0; 0; false; properties/0005__dbscan__karypis_sport__sparse__8000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_8_10_19.txt
0.727667; 0.727667; N/A; N/A; N/A; N/A; 0.0883333; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 500; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 5.862; N/A; N/A; N/A; 5; 0; 0; false; properties/0006__dbscan__karypis_review__sparse__500__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_8_13_6.txt
2.917; 2.917; N/A; N/A; N/A; N/A; 0.156; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 1000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 12.228; N/A; N/A; N/A; 5; 0; 0; false; properties/0007__dbscan__karypis_review__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_8_13_44.txt
12.5477; 12.5477; N/A; N/A; N/A; N/A; 0.333; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 2000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A; 5; 0; 0; false; properties/0008__dbscan__karypis_review__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_8_15_5.txt
28.163; 28.163; N/A; N/A; N/A; N/A; 0.499; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 3000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A; 5; 0; 0; false; properties/0009__dbscan__karypis_review__sparse__3000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_8_17_38.txt
50.2943; 50.2943; N/A; N/A; N/A; N/A; 0.681; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 4000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A; 5; 0; 0; false; properties/0010__dbscan__karypis_review__sparse__4000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_8_21_57.txt
0.14; 0.14; N/A; N/A; N/A; N/A; 0.031; N/A; N/A; grouping; dbscan; false; datasets/dense_d55_r581012_covtype.txt; 1000; 55; 0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 430.547; N/A; N/A; N/A; 5; 0; 0; false; properties/0011__dbscan__covtype__dense__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_8_23_15.txt
3.90567; 3.90567; N/A; N/A; N/A; N/A; 0.141; N/A; N/A; grouping; dbscan; false; datasets/dense_d55_r581012_covtype.txt; 5000; 55; 0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 440.908; N/A; N/A; N/A; 5; 0; 0; false; properties/0012__dbscan__covtype__dense__5000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_8_24_0.txt
17.29; 17.29; N/A; N/A; N/A; N/A; 0.332667; N/A; N/A; grouping; dbscan; false; datasets/dense_d55_r581012_covtype.txt; 10000; 55; 0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 440.908; N/A; N/A; N/A; 5; 0; 0; false; properties/0013__dbscan__covtype__dense__10000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_8_25_52.txt
114.681; 114.681; N/A; N/A; N/A; N/A; 1.32067; N/A; N/A; grouping; dbscan; false; datasets/dense_d55_r581012_covtype.txt; 30000; 55; 0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 441.658; N/A; N/A; N/A; 5; 0; 0; false; properties/0014__dbscan__covtype__dense__30000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_8_34_41.txt
439.157; 439.157; N/A; N/A; N/A; N/A; 1.83533; N/A; N/A; grouping; dbscan; false; datasets/dense_d55_r581012_covtype.txt; 60000; 55; 0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 441.658; N/A; N/A; N/A; 5; 0; 0; false; properties/0015__dbscan__covtype__dense__60000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_9_7_18.txt
0.894; 0.894; N/A; N/A; N/A; N/A; 0.0413333; N/A; N/A; grouping; dbscan; false; datasets/dense_d56_r96367_cup98.txt; 1000; 56; 0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 425.288; N/A; N/A; N/A; 5; 0; 0; false; properties/0016__dbscan__cup98__dense__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_9_15_14.txt
59.233; 59.233; N/A; N/A; N/A; N/A; 0.171667; N/A; N/A; grouping; dbscan; false; datasets/dense_d56_r96367_cup98.txt; 5000; 56; 0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 426.744; N/A; N/A; N/A; 5; 0; 0; false; properties/0017__dbscan__cup98__dense__5000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_9_19_19.txt
188.048; 188.048; N/A; N/A; N/A; N/A; 0.437; N/A; N/A; grouping; dbscan; false; datasets/dense_d56_r96367_cup98.txt; 10000; 56; 0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 426.744; N/A; N/A; N/A; 5; 0; 0; false; properties/0018__dbscan__cup98__dense__10000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_9_33_56.txt
4064.9; 4064.9; N/A; N/A; N/A; N/A; 1.57567; N/A; N/A; grouping; dbscan; false; datasets/dense_d56_r96367_cup98.txt; 30000; 56; 0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 426.744; N/A; N/A; N/A; 5; 0; 0; false; properties/0019__dbscan__cup98__dense__30000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_14_12_31.txt
