Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Positioning [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Placement Method; K; Eps; MinPts; P Sample Index; S Sample Index; Properties File Path; Report File Path
6.983; N/A; N/A; N/A; N/A; N/A; N/A; 0.212;0; N/A; grouping; dbscan; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;1500;126373;0; sparse; N/A; N/A; N/A; N/A; N/A;15;3;0;0; properties/dbscan_0001.txt; logs/run_report_2012_10_27_20_23_43.txt
510.756; N/A; N/A; N/A; N/A; N/A; N/A; 1.707;0; N/A; grouping; dbscan; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;1500;126373;0; dense; N/A; N/A; N/A; N/A; N/A;15;3;0;0; properties/dbscan_0002.txt; logs/run_report_2012_10_27_20_23_51.txt
6.97; N/A; N/A; N/A; N/A; N/A; 0.005; 0.252;0; N/A; grouping; dbscan; true; datasets/sparse_d126373_r4069_karypis_reviews.txt;1500;126373;0; sparse; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0003.txt; logs/run_report_2012_10_27_20_32_27.txt
509.88; N/A; N/A; N/A; N/A; N/A; 0.772; 1.695;0; N/A; grouping; dbscan; true; datasets/sparse_d126373_r4069_karypis_reviews.txt;1500;126373;0; dense; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0004.txt; logs/run_report_2012_10_27_20_32_36.txt
4.725; N/A; N/A; N/A; N/A; N/A; N/A; 0.173;0; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1500;126373;0; sparse; N/A; N/A; N/A; N/A; N/A;15;3;0;0; properties/dbscan_0005.txt; logs/run_report_2012_10_27_20_41_10.txt
510.945; N/A; N/A; N/A; N/A; N/A; N/A; 1.642;0; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1500;126373;0; dense; N/A; N/A; N/A; N/A; N/A;15;3;0;0; properties/dbscan_0006.txt; logs/run_report_2012_10_27_20_41_16.txt
4.483; N/A; N/A; N/A; N/A; N/A; 0.003; 0.188;0; N/A; grouping; dbscan; true; datasets/sparse_d126373_r8580_karypis_sport.txt;1500;126373;0; sparse; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0007.txt; logs/run_report_2012_10_27_20_49_52.txt
508.926; N/A; N/A; N/A; N/A; N/A; 0.773; 1.628;0; N/A; grouping; dbscan; true; datasets/sparse_d126373_r8580_karypis_sport.txt;1500;126373;0; dense; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0008.txt; logs/run_report_2012_10_27_20_49_58.txt
5.409; N/A; N/A; N/A; N/A; N/A; N/A; 0.22;0; N/A; grouping; dbscan; false; datasets/sparse_d126373_r2301_karypis_hitech.txt;1500;126373;0; sparse; N/A; N/A; N/A; N/A; N/A;15;3;0;0; properties/dbscan_0009.txt; logs/run_report_2012_10_27_20_58_32.txt
509.846; N/A; N/A; N/A; N/A; N/A; N/A; 1.651;0; N/A; grouping; dbscan; false; datasets/sparse_d126373_r2301_karypis_hitech.txt;1500;126373;0; dense; N/A; N/A; N/A; N/A; N/A;15;3;0;0; properties/dbscan_0010.txt; logs/run_report_2012_10_27_20_58_39.txt
5.4; N/A; N/A; N/A; N/A; N/A; 0.003; 0.233;0; N/A; grouping; dbscan; true; datasets/sparse_d126373_r2301_karypis_hitech.txt;1500;126373;0; sparse; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0011.txt; logs/run_report_2012_10_27_21_7_14.txt
513.433; N/A; N/A; N/A; N/A; N/A; 0.771; 1.662;0; N/A; grouping; dbscan; true; datasets/sparse_d126373_r2301_karypis_hitech.txt;1500;126373;0; dense; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0012.txt; logs/run_report_2012_10_27_21_7_21.txt
0.488; N/A; N/A; N/A; N/A; N/A; N/A; 0.039;0; N/A; grouping; dbscan; false; datasets/dense_d2_r3000.txt;3000;2;0; sparse; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0013.txt; logs/run_report_2012_10_27_21_15_59.txt
0.24; N/A; N/A; N/A; N/A; N/A; N/A; 0.014;0; N/A; grouping; dbscan; false; datasets/dense_d2_r3000.txt;3000;2;0; dense; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0014.txt; logs/run_report_2012_10_27_21_16_1.txt
1.272; N/A; N/A; N/A; N/A; N/A; N/A; 0.03;0; N/A; grouping; dbscan; true; datasets/dense_d2_r3000.txt;3000;2;0; sparse; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0015.txt; logs/run_report_2012_10_27_21_16_2.txt
0.953; N/A; N/A; N/A; N/A; N/A; N/A; 0.017;0; N/A; grouping; dbscan; true; datasets/dense_d2_r3000.txt;3000;2;0; dense; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0016.txt; logs/run_report_2012_10_27_21_16_5.txt
2.056; N/A; N/A; N/A; N/A; N/A; N/A; 0.083;0; N/A; grouping; dbscan; false; datasets/dense_d15_r10126.txt;3000;15;0; sparse; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0017.txt; logs/run_report_2012_10_27_21_16_7.txt
0.422; N/A; N/A; N/A; N/A; N/A; N/A; 0.047;0; N/A; grouping; dbscan; false; datasets/dense_d15_r10126.txt;3000;15;0; dense; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0018.txt; logs/run_report_2012_10_27_21_16_10.txt
10.915; N/A; N/A; N/A; N/A; N/A; N/A; 0.09;0; N/A; grouping; dbscan; true; datasets/dense_d15_r10126.txt;3000;15;0; sparse; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0019.txt; logs/run_report_2012_10_27_21_16_12.txt
7.813; N/A; N/A; N/A; N/A; N/A; 0.001; 0.046;0; N/A; grouping; dbscan; true; datasets/dense_d15_r10126.txt;3000;15;0; dense; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0020.txt; logs/run_report_2012_10_27_21_16_24.txt
53.284; N/A; N/A; N/A; N/A; N/A; N/A; 0.076;0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt;3000;2;0; sparse; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0021.txt; logs/run_report_2012_10_27_21_16_33.txt
47.376; N/A; N/A; N/A; N/A; N/A; N/A; 0.092;0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt;3000;2;0; dense; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0022.txt; logs/run_report_2012_10_27_21_17_28.txt
2.56; N/A; N/A; N/A; N/A; N/A; N/A; 0.095;0; N/A; grouping; dbscan; true; datasets/dense_d56_r100000_cup98.txt;3000;2;0; sparse; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0023.txt; logs/run_report_2012_10_27_21_18_16.txt
2.379; N/A; N/A; N/A; N/A; N/A; N/A; 0.081;0; N/A; grouping; dbscan; true; datasets/dense_d56_r100000_cup98.txt;3000;2;0; dense; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0024.txt; logs/run_report_2012_10_27_21_18_20.txt
293.35; N/A; N/A; N/A; N/A; N/A; N/A; 0.093;0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt;3000;15;0; sparse; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0025.txt; logs/run_report_2012_10_27_21_18_24.txt
146.64; N/A; N/A; N/A; N/A; N/A; N/A; 0.087;0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt;3000;15;0; dense; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0026.txt; logs/run_report_2012_10_27_21_23_18.txt
2.182; N/A; N/A; N/A; N/A; N/A; 0.001; 0.072;0; N/A; grouping; dbscan; true; datasets/dense_d56_r100000_cup98.txt;3000;15;0; sparse; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0027.txt; logs/run_report_2012_10_27_21_25_46.txt
0.85; N/A; N/A; N/A; N/A; N/A; N/A; 0.099;0; N/A; grouping; dbscan; true; datasets/dense_d56_r100000_cup98.txt;3000;15;0; dense; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0028.txt; logs/run_report_2012_10_27_21_25_50.txt
29.131; N/A; N/A; N/A; N/A; N/A; N/A; 0.128;0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt;3000;30;0; sparse; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0029.txt; logs/run_report_2012_10_27_21_25_52.txt
83.587; N/A; N/A; N/A; N/A; N/A; N/A; 0.066;0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt;3000;30;0; dense; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0030.txt; logs/run_report_2012_10_27_21_26_22.txt
4.535; N/A; N/A; N/A; N/A; N/A; 0.002; 0.094;0; N/A; grouping; dbscan; true; datasets/dense_d56_r100000_cup98.txt;3000;30;0; sparse; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0031.txt; logs/run_report_2012_10_27_21_27_47.txt
1.647; N/A; N/A; N/A; N/A; N/A; 0.001; 0.066;0; N/A; grouping; dbscan; true; datasets/dense_d56_r100000_cup98.txt;3000;30;0; dense; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0032.txt; logs/run_report_2012_10_27_21_27_53.txt
15.734; N/A; N/A; N/A; N/A; N/A; N/A; 0.111;0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt;3000;45;0; sparse; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0033.txt; logs/run_report_2012_10_27_21_27_56.txt
15.005; N/A; N/A; N/A; N/A; N/A; N/A; 0.074;0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt;3000;45;0; dense; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0034.txt; logs/run_report_2012_10_27_21_28_13.txt
5.817; N/A; N/A; N/A; N/A; N/A; 0.002; 0.116;0; N/A; grouping; dbscan; true; datasets/dense_d56_r100000_cup98.txt;3000;45;0; sparse; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0035.txt; logs/run_report_2012_10_27_21_28_30.txt
3.07; N/A; N/A; N/A; N/A; N/A; 0.001; 0.082;0; N/A; grouping; dbscan; true; datasets/dense_d56_r100000_cup98.txt;3000;45;0; dense; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0036.txt; logs/run_report_2012_10_27_21_28_37.txt
19.518; N/A; N/A; N/A; N/A; N/A; N/A; 0.125;0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt;3000;56;0; sparse; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0037.txt; logs/run_report_2012_10_27_21_28_42.txt
15.12; N/A; N/A; N/A; N/A; N/A; N/A; 0.091;0; N/A; grouping; dbscan; false; datasets/dense_d56_r100000_cup98.txt;3000;56;0; dense; N/A; N/A; N/A; N/A; N/A;900;7;0;0; properties/dbscan_0038.txt; logs/run_report_2012_10_27_21_29_2.txt
7.31; N/A; N/A; N/A; N/A; N/A; 0.003; 0.118;0; N/A; grouping; dbscan; true; datasets/dense_d56_r100000_cup98.txt;3000;56;0; sparse; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0039.txt; logs/run_report_2012_10_27_21_29_19.txt
3.25; N/A; N/A; N/A; N/A; N/A; 0.001; 0.086;0; N/A; grouping; dbscan; true; datasets/dense_d56_r100000_cup98.txt;3000;56;0; dense; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0040.txt; logs/run_report_2012_10_27_21_29_27.txt
12.383; N/A; N/A; N/A; N/A; N/A; N/A; 0.139;0; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;3000;2;0; sparse; N/A; N/A; N/A; N/A; N/A;15;3;0;0; properties/dbscan_0041.txt; logs/run_report_2012_10_27_21_29_32.txt
15.71; N/A; N/A; N/A; N/A; N/A; N/A; 0.191;0; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;3000;2;0; dense; N/A; N/A; N/A; N/A; N/A;15;3;0;0; properties/dbscan_0042.txt; logs/run_report_2012_10_27_21_29_46.txt
11.596; N/A; N/A; N/A; N/A; N/A; N/A; 0.152;0; N/A; grouping; dbscan; true; datasets/sparse_d126373_r8580_karypis_sport.txt;3000;2;0; sparse; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0043.txt; logs/run_report_2012_10_27_21_30_3.txt
6.223; N/A; N/A; N/A; N/A; N/A; 0.001; 0.171;0; N/A; grouping; dbscan; true; datasets/sparse_d126373_r8580_karypis_sport.txt;3000;2;0; dense; N/A; N/A; N/A; N/A; N/A; 0.0447214;2;0;0; properties/dbscan_0044.txt; logs/run_report_2012_10_27_21_30_16.txt
22.142; N/A; N/A; N/A; N/A; N/A; N/A; 0.189;0; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;3000;15;0; sparse; N/A; N/A; N/A; N/A; N/A;15;3;0;0; properties/dbscan_0045.txt; logs/run_report_2012_10_27_21_30_23.txt
