Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
2.059; 2.059; N/A; N/A; N/A; N/A; 0.094; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__dbscan__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_48_55.txt
2.059; 2.059; N/A; N/A; N/A; N/A; 0.14; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__dbscan__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_49_3.txt
2.06; 2.06; N/A; N/A; N/A; N/A; 0.14; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__dbscan__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_49_10.txt
2.059; 2.059; N/A; N/A; N/A; N/A; 0.125; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__dbscan__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_49_17.txt
2.059; 2.059; N/A; N/A; N/A; N/A; 0.125; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__dbscan__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_49_24.txt
7.894; 7.894; N/A; N/A; N/A; N/A; 0.25; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__dbscan__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_49_32.txt
7.92; 7.92; N/A; N/A; N/A; N/A; 0.25; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__dbscan__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_49_45.txt
7.894; 7.894; N/A; N/A; N/A; N/A; 0.234; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__dbscan__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_49_58.txt
7.893; 7.893; N/A; N/A; N/A; N/A; 0.249; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__dbscan__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_50_12.txt
7.909; 7.909; N/A; N/A; N/A; N/A; 0.234; N/A; N/A; grouping; dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__dbscan__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_7_50_25.txt
