Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
1.05067; 1.03; N/A;0; 0.015; N/A; 0.119333; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A;5;0;0; false; properties/0001__dbscan_points_elimination__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_12_26.txt
3.973; 3.931; N/A;0; 0.0416667; N/A; 0.228667; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A;5;0;0; false; properties/0002__dbscan_points_elimination__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_13_9.txt
16.9473; 16.8167; N/A;0; 0.135667; N/A; 0.473; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt;4000;126373;0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 9.077; N/A; N/A; N/A;5;0;0; false; properties/0003__dbscan_points_elimination__karypis_sport__sparse__4000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_14_50.txt
39.062; 38.7193; N/A; 0.0156667; 0.322333; N/A; 0.718; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt;6000;126373;0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 9.077; N/A; N/A; N/A;5;0;0; false; properties/0004__dbscan_points_elimination__karypis_sport__sparse__6000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_18_14.txt
71.1363; 70.4813; N/A; 0.016; 0.634; N/A; 0.930667; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt;8000;126373;0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 11.907; N/A; N/A; N/A;5;0;0; false; properties/0005__dbscan_points_elimination__karypis_sport__sparse__8000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_24_14.txt
0.374; 0.359; N/A;0; 0.0153333; N/A; 0.078; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;500;126373;0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 5.862; N/A; N/A; N/A;5;0;0; false; properties/0006__dbscan_points_elimination__karypis_review__sparse__500__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_25_54.txt
1.498; 1.456; N/A;0; 0.042; N/A; 0.156; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;1000;126373;0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 12.228; N/A; N/A; N/A;5;0;0; false; properties/0007__dbscan_points_elimination__karypis_review__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_26_26.txt
6.37567; 6.29733; N/A;0; 0.078; N/A; 0.312; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;2000;126373;0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A;5;0;0; false; properties/0008__dbscan_points_elimination__karypis_review__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_27_21.txt
14.3623; 14.186; N/A; 0.0103333; 0.166; N/A; 0.478; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;3000;126373;0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A;5;0;0; false; properties/0009__dbscan_points_elimination__karypis_review__sparse__3000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_28_53.txt
25.683; 25.4387; N/A; 0.00533333; 0.239; N/A; 0.655; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;4000;126373;0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A;5;0;0; false; properties/0010__dbscan_points_elimination__karypis_review__sparse__4000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_31_21.txt
0.229; 0.0833333; N/A; 0.00533333; 0.14; N/A; 0.031; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/dense_d55_r581012_covtype.txt;1000;55;0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 430.547; N/A; N/A; N/A;5;0;0; false; properties/0011__dbscan_points_elimination__covtype__dense__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_32_14.txt
3.60433; 2.382; N/A; 0.104; 1.12833; N/A; 0.125; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/dense_d55_r581012_covtype.txt;5000;55;0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 440.908; N/A; N/A; N/A;5;0;0; false; properties/0012__dbscan_points_elimination__covtype__dense__5000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_33_2.txt
41.1377; 23.1037; N/A; 0.312; 17.722; N/A; 0.291333; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/dense_d55_r581012_covtype.txt;10000;55;0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 440.908; N/A; N/A; N/A;5;0;0; false; properties/0013__dbscan_points_elimination__covtype__dense__10000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_36_20.txt
62.712; 61.568; N/A; 0.026; 1.149; N/A; 1.27933; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/dense_d55_r581012_covtype.txt;30000;55;0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 441.658; N/A; N/A; N/A;5;0;0; false; properties/0014__dbscan_points_elimination__covtype__dense__30000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_42_21.txt
234.114; 231.889; N/A; 0.047; 1.83; N/A; 1.87733; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/dense_d55_r581012_covtype.txt;60000;55;0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 441.658; N/A; N/A; N/A;5;0;0; false; properties/0015__dbscan_points_elimination__covtype__dense__60000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_0_1_38.txt
2.75133; 2.53267; N/A; 0.0153333; 0.203; N/A; 0.0363333; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/dense_d56_r96367_cup98.txt;1000;56;0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 425.288; N/A; N/A; N/A;5;0;0; false; properties/0016__dbscan_points_elimination__cup98__dense__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_0_6_26.txt
166.406; 165.548; N/A; 0.0933333; 0.754; N/A; 0.156; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/dense_d56_r96367_cup98.txt;5000;56;0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 426.744; N/A; N/A; N/A;5;0;0; false; properties/0017__dbscan_points_elimination__cup98__dense__5000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_0_16_49.txt
279.636; 253.838; N/A; 0.400667; 25.3913; N/A; 0.348333; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/dense_d56_r96367_cup98.txt;10000;56;0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 426.744; N/A; N/A; N/A;5;0;0; false; properties/0018__dbscan_points_elimination__cup98__dense__10000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_0_42_35.txt
2471.29; 2470.29; N/A; 0.0263333; 1.03467; N/A; 1.48733; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/dense_d56_r96367_cup98.txt;30000;56;0; dense; N/A; N/A; N/A; N/A; N/A; false; N/A; 426.744; N/A; N/A; N/A;5;0;0; false; properties/0019__dbscan_points_elimination__cup98__dense__30000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_28_4_6_50.txt
