Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
1.076; 1.061; N/A; 0; 0.015; N/A; 0.094; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__dbscan__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_12_1.txt
1.045; 1.03; N/A; 0; 0.015; N/A; 0.125; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__dbscan__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_12_7.txt
1.045; 1.03; N/A; 0; 0.015; N/A; 0.124; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__dbscan__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_12_13.txt
1.046; 1.03; N/A; 0; 0.016; N/A; 0.109; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__dbscan__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_12_20.txt
1.061; 1.03; N/A; 0.016; 0.015; N/A; 0.125; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__dbscan__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_12_26.txt
3.993; 3.931; N/A; 0; 0.062; N/A; 0.218; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__dbscan__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_12_32.txt
3.963; 3.931; N/A; 0; 0.032; N/A; 0.25; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__dbscan__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_12_41.txt
3.978; 3.932; N/A; 0; 0.046; N/A; 0.25; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__dbscan__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_12_51.txt
3.978; 3.931; N/A; 0; 0.047; N/A; 0.218; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__dbscan__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_13_0.txt
3.962; 3.931; N/A; 0; 0.031; N/A; 0.218; N/A; N/A; grouping; dbscan_points_elimination; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; N/A; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__dbscan__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort.txt; logs/run_report_2013_1_27_23_13_9.txt
