Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
0.319667; 0.319667;0; 0.002;0; N/A; 0.119333;0; 0.00333333; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A; 2.64575; 19.4873; 43.589; N/A;0;0; false; properties/0001__k_neighborhood__karypis_sport__sparse__1000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_26_39.txt
1.39367; 1.39367;0; 0.00366667;0; N/A; 0.247;0; 0.00666667; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A;2; 19.3919; 50.9706; N/A;0;0; false; properties/0002__k_neighborhood__karypis_sport__sparse__2000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_27_12.txt
6.00467; 6.00467;0; 0.00833333; 0.001; N/A; 0.520333;0; 0.0466667; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;4000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A;2; 20.5796; 80.4114; N/A;0;0; false; properties/0003__k_neighborhood__karypis_sport__sparse__4000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_28_8.txt
15.1623; 15.1623;0; 0.0136667; 0.00166667; N/A; 0.771667;0; 0.0973333; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;6000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A;2; 21.2001; 80.4114; N/A;0;0; false; properties/0004__k_neighborhood__karypis_sport__sparse__6000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_29_47.txt
30.4967; 30.4967; 0.000333333; 0.0163333; 0.00233333; N/A; 1.02467;0; 0.193667; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;8000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A; 2.23607; 21.7308; 85.2936; N/A;0;0; false; properties/0005__k_neighborhood__karypis_sport__sparse__8000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_32_36.txt
0.092; 0.092;0; 0.001;0; N/A; 0.0873333;0; 0.00133333; classification; k_neighborhood; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;500;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A; 11.1355; 30.5529; 63.2218; N/A;0;0; false; properties/0006__k_neighborhood__karypis_reviews__sparse__500__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_33_35.txt
0.382667; 0.382667;0; 0.002;0; N/A; 0.159;0; 0.006; classification; k_neighborhood; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;1000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A; 10.9087; 29.9226; 62.3618; N/A;0;0; false; properties/0007__k_neighborhood__karypis_reviews__sparse__1000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_34_3.txt
2.62633; 2.62633;0; 0.005;0; N/A; 0.325;0; 0.009; classification; k_neighborhood; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;2000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A; 4.3589; 27.4989; 62.3618; N/A;0;0; false; properties/0008__k_neighborhood__karypis_reviews__sparse__2000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_34_43.txt
9.17533; 9.17533;0; 0.007; 0.001; N/A; 0.488667;0; 0.015; classification; k_neighborhood; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;3000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A; 4.24264; 25.8615; 65.7647; N/A;0;0; false; properties/0009__k_neighborhood__karypis_reviews__sparse__3000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_35_47.txt
9.101; 9.101;0; 0.009; 0.001; N/A; 0.658;0; 0.026; classification; k_neighborhood; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;4000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A; 4.47214; 25.8433; 113.578; N/A;0;0; false; properties/0010__k_neighborhood__karypis_reviews__sparse__4000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_37_3.txt
40.115; 40.115;0; 0.219333; 0.003; N/A; 0.277;0; 0.205667; classification; k_neighborhood; false; datasets/dense_d55_r581012_covtype.txt;10000;55;0; dense; N/A; N/A; N/A;10; binary; true;5; N/A; 44.5982; 173.107; 585.57; N/A;0;0; false; properties/0011__k_neighborhood__covtype__dense__10000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_40_39.txt
842.475; 842.475; 0.001; 2.372; 0.015; N/A; 2.40433;0; 1.257; classification; k_neighborhood; false; datasets/dense_d55_r581012_covtype.txt;50000;55;0; dense; N/A; N/A; N/A;10; binary; true;5; N/A; 27.9464; 85.78; 735.853; N/A;0;0; false; properties/0012__k_neighborhood__covtype__dense__50000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_1_39_30.txt
4570.87; 4570.87; 0.002; 4.851; 0.036; N/A; 3.91933;0; 4.21067; classification; k_neighborhood; false; datasets/dense_d55_r581012_covtype.txt;100000;55;0; dense; N/A; N/A; N/A;10; binary; true;5; N/A; 27.1846; 69.9669; 735.853; N/A;0;0; false; properties/0013__k_neighborhood__covtype__dense__100000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_7_6_25.txt
15.9473; 15.9473; 0.000333333; 0.219; 0.003; N/A; 0.557333;0; 0.08; classification; k_neighborhood; false; datasets/dense_d56_r96367_cup98.txt;10000;56;0; dense; N/A; N/A; N/A;10; binary; true;5; N/A; 22.2036; 65.5209; 334.337; N/A;0;0; false; properties/0016__k_neighborhood__cup98__dense__10000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_18_4_59.txt
163.038; 163.038; 0.001; 1.11633; 0.011; N/A; 1.27033;0; 0.626333; classification; k_neighborhood; false; datasets/dense_d56_r96367_cup98.txt;30000;56;0; dense; N/A; N/A; N/A;10; binary; true;5; N/A; 14.3875; 53.8118; 353.754; N/A;0;0; false; properties/0017__k_neighborhood__cup98__dense__30000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_18_17_20.txt
473.576; 473.576; 0.00133333; 2.27633; 0.019; N/A; 2.12833;0; 1.229; classification; k_neighborhood; false; datasets/dense_d56_r96367_cup98.txt;50000;56;0; dense; N/A; N/A; N/A;10; binary; true;5; N/A; 2.82843; 49.0547; 298.312; N/A;0;0; false; properties/0018__k_neighborhood__cup98__dense__50000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_18_53_34.txt
992.978; 992.978; 0.00133333; 3.078; 0.03; N/A; 3.13633;0; 2.46667; classification; k_neighborhood; false; datasets/dense_d56_r96367_cup98.txt;70000;56;0; dense; N/A; N/A; N/A;10; binary; true;5; N/A;2; 46.3122; 330.429; N/A;0;0; false; properties/0019__k_neighborhood__cup98__dense__70000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_20_10_44.txt
1712.66; 1712.66; 0.002; 4.38667; 0.041; N/A; 3.62333;0; 3.844; classification; k_neighborhood; false; datasets/dense_d56_r96367_cup98.txt;90000;56;0; dense; N/A; N/A; N/A;10; binary; true;5; N/A;2; 43.9603; 330.429; N/A;0;0; false; properties/0020__k_neighborhood__cup98__dense__90000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_22_25_17.txt
