Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
0.305; 0.305;0; 0.002;0; N/A; 0.11;0; 0.004; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A; 2.64575; 19.4873; 43.589; N/A;0;0; false; properties/0001__k_neighborhood__karypis_sport__sparse__1000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_26_16.txt
0.312; 0.312;0; 0.002;0; N/A; 0.119;0; 0.003; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A; 2.64575; 19.4873; 43.589; N/A;0;0; false; properties/0001__k_neighborhood__karypis_sport__sparse__1000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_26_22.txt
0.322; 0.322;0; 0.002;0; N/A; 0.135;0; 0.003; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A; 2.64575; 19.4873; 43.589; N/A;0;0; false; properties/0001__k_neighborhood__karypis_sport__sparse__1000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_26_28.txt
0.325; 0.325;0; 0.002;0; N/A; 0.116;0; 0.004; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A; 2.64575; 19.4873; 43.589; N/A;0;0; false; properties/0001__k_neighborhood__karypis_sport__sparse__1000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_26_33.txt
0.327; 0.327;0; 0.002;0; N/A; 0.123;0; 0.003; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A; 2.64575; 19.4873; 43.589; N/A;0;0; false; properties/0001__k_neighborhood__karypis_sport__sparse__1000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_26_39.txt
1.291; 1.291; 0.001; 0.003;0; N/A; 0.248;0; 0.004; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A;2; 19.3919; 50.9706; N/A;0;0; false; properties/0002__k_neighborhood__karypis_sport__sparse__2000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_26_44.txt
1.39; 1.39;0; 0.004;0; N/A; 0.243;0; 0.007; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A;2; 19.3919; 50.9706; N/A;0;0; false; properties/0002__k_neighborhood__karypis_sport__sparse__2000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_26_51.txt
1.402; 1.402;0; 0.003; 0.001; N/A; 0.25;0; 0.006; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A;2; 19.3919; 50.9706; N/A;0;0; false; properties/0002__k_neighborhood__karypis_sport__sparse__2000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_26_58.txt
1.394; 1.394;0; 0.004;0; N/A; 0.25;0; 0.007; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A;2; 19.3919; 50.9706; N/A;0;0; false; properties/0002__k_neighborhood__karypis_sport__sparse__2000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_27_5.txt
1.397; 1.397;0; 0.004;0; N/A; 0.242;0; 0.007; classification; k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; N/A; N/A; N/A;10; binary; true;5; N/A;2; 19.3919; 50.9706; N/A;0;0; false; properties/0002__k_neighborhood__karypis_sport__sparse__2000__no_cos__10__binary_placement__K5__index_access.txt; logs/run_report_2013_1_16_0_27_12.txt
