Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
1.669; 1.64333; N/A; 0.00566667; 0.021; N/A; 0.126333; 13.8527; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 126.123; N/A; N/A; N/A;5;0;0; false; properties/0001__ti_dbscan___karypis_sport__sparse__1000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_28_2.txt
6.49367; 6.44667; N/A; 0.00333333; 0.0436667; N/A; 0.250333; 26.3707; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 140.229; N/A; N/A; N/A;5;0;0; false; properties/0002__ti_dbscan___karypis_sport__sparse__2000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_30_56.txt
27.2393; 27.0673; N/A; 0.00766667; 0.115333; N/A; 0.499; 80.3927; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;4000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 181.549; N/A; N/A; N/A;5;0;0; false; properties/0003__ti_dbscan___karypis_sport__sparse__4000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_39_14.txt
62.6607; 62.2863; N/A; 0.0113333; 0.369333; N/A; 0.74; 167.546; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;6000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 181.549; N/A; N/A; N/A;5;0;0; false; properties/0004__ti_dbscan___karypis_sport__sparse__6000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_56_51.txt
113.865; 113.117; N/A; 0.019; 0.465667; N/A; 0.977333; 233.452; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;8000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 283.157; N/A; N/A; N/A;5;0;0; false; properties/0005__ti_dbscan___karypis_sport__sparse__8000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_10_24_24.txt
0.532333; 0.515; N/A; 0.00133333; 0.016; N/A; 0.0863333; 9.11533; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;500;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 117.252; N/A; N/A; N/A;5;0;0; false; properties/0006__ti_dbscan___karypis_review__sparse__500__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_10_31_16.txt
2.11733; 2.071; N/A; 0.003; 0.0433333; N/A; 0.158; 18.6617; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;1000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 244.561; N/A; N/A; N/A;5;0;0; false; properties/0007__ti_dbscan___karypis_review__sparse__1000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_10_33_15.txt
8.96733; 8.88067; N/A; 0.00533333; 0.0706667; N/A; 0.331667; 40.2523; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;2000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 280.573; N/A; N/A; N/A;5;0;0; false; properties/0008__ti_dbscan___karypis_review__sparse__2000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_10_37_20.txt
20.2703; 20.105; N/A; 0.007; 0.153667; N/A; 0.508667; 114.048; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;3000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 280.573; N/A; N/A; N/A;5;0;0; false; properties/0009__ti_dbscan___karypis_review__sparse__3000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_10_47_36.txt
36.3003; 36.0627; N/A; 0.0103333; 0.224; N/A; 0.691; 165.174; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;4000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 280.573; N/A; N/A; N/A;5;0;0; false; properties/0010__ti_dbscan___karypis_review__sparse__4000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_11_3_48.txt
7.245; 7.235; N/A; 0.00633333; 0.00133333; N/A; 0.117667; 13.5897; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; true; N/A; 126.123; N/A; N/A; N/A;5;0;0; false; properties/0021__ti_dbscan___karypis_sport__sparse__1000__no_cos__Eps_max__Min_Pts_5__index_sort__Rmax.txt; logs/run_report_2013_1_12_11_8_54.txt
48.1583; 48.151; N/A; 0.00433333; 0.001; N/A; 0.219; 26.4477; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; true; N/A; 140.229; N/A; N/A; N/A;5;0;0; false; properties/0022__ti_dbscan___karypis_sport__sparse__2000__no_cos__Eps_max__Min_Pts_5__index_sort__Rmax.txt; logs/run_report_2013_1_12_11_14_3.txt
285.986; 285.977; N/A; 0.008; 0.001; N/A; 0.452; 83.0447; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;4000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; true; N/A; 181.549; N/A; N/A; N/A;5;0;0; false; properties/0023__ti_dbscan___karypis_sport__sparse__4000__no_cos__Eps_max__Min_Pts_5__index_sort__Rmax.txt; logs/run_report_2013_1_12_11_37_44.txt
1103.24; 1103.23; N/A; 0.011; 0.00166667; N/A; 0.720667; 171.411; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;6000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; true; N/A; 181.549; N/A; N/A; N/A;5;0;0; false; properties/0024__ti_dbscan___karypis_sport__sparse__6000__no_cos__Eps_max__Min_Pts_5__index_sort__Rmax.txt; logs/run_report_2013_1_12_12_57_2.txt
2183.98; 2183.96; N/A; 0.019; 0.00266667; N/A; 0.966333; 235.035; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;8000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; true; N/A; 283.157; N/A; N/A; N/A;5;0;0; false; properties/0025__ti_dbscan___karypis_sport__sparse__8000__no_cos__Eps_max__Min_Pts_5__index_sort__Rmax.txt; logs/run_report_2013_1_12_15_40_4.txt
