Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
1.64; 1.61; N/A; 0.003; 0.027; N/A; 0.11; 16.144; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 126.123; N/A; N/A; N/A;5;0;0; false; properties/0001__ti_dbscan___karypis_sport__sparse__1000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_26_36.txt
1.663; 1.642; N/A; 0.004; 0.017; N/A; 0.145; 13.514; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 126.123; N/A; N/A; N/A;5;0;0; false; properties/0001__ti_dbscan___karypis_sport__sparse__1000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_26_59.txt
1.681; 1.652; N/A; 0.01; 0.019; N/A; 0.126; 13.486; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 126.123; N/A; N/A; N/A;5;0;0; false; properties/0001__ti_dbscan___karypis_sport__sparse__1000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_27_20.txt
1.663; 1.643; N/A; 0.003; 0.017; N/A; 0.126; 14.558; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 126.123; N/A; N/A; N/A;5;0;0; false; properties/0001__ti_dbscan___karypis_sport__sparse__1000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_27_40.txt
1.687; 1.645; N/A; 0.012; 0.03; N/A; 0.127; 13.449; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 126.123; N/A; N/A; N/A;5;0;0; false; properties/0001__ti_dbscan___karypis_sport__sparse__1000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_28_2.txt
6.404; 6.328; N/A; 0.003; 0.073; N/A; 0.256; 28.006; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 140.229; N/A; N/A; N/A;5;0;0; false; properties/0002__ti_dbscan___karypis_sport__sparse__2000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_28_22.txt
6.492; 6.444; N/A; 0.003; 0.045; N/A; 0.266; 26.305; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 140.229; N/A; N/A; N/A;5;0;0; false; properties/0002__ti_dbscan___karypis_sport__sparse__2000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_29_2.txt
6.505; 6.458; N/A; 0.004; 0.043; N/A; 0.246; 26.409; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 140.229; N/A; N/A; N/A;5;0;0; false; properties/0002__ti_dbscan___karypis_sport__sparse__2000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_29_40.txt
6.489; 6.443; N/A; 0.003; 0.043; N/A; 0.249; 26.248; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 140.229; N/A; N/A; N/A;5;0;0; false; properties/0002__ti_dbscan___karypis_sport__sparse__2000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_30_18.txt
6.5; 6.453; N/A; 0.004; 0.043; N/A; 0.235; 26.398; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; [max]; N/A; N/A; N/A; N/A; false; N/A; 140.229; N/A; N/A; N/A;5;0;0; false; properties/0002__ti_dbscan___karypis_sport__sparse__2000__no_cos__Eps_max__Min_Pts_5__dataset_sort__Rmax.txt; logs/run_report_2013_1_12_9_30_56.txt
