Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Positioning [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Placement Method; K; Eps; MinPts; P Sample Index; S Sample Index; Properties File Path; Report File Path
502.773; 502.695; N/A; 0.078;0; N/A; N/A; 0.265;0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/dense_d56_r100000_cup98.txt;8580;56;0; sparse; ;1; d1; N/A; N/A;900;7;0;0; properties/ti_dbscan_ref_projection_0001.txt; logs/run_report_2012_10_28_13_40_32.txt
755.385; 755.385; N/A;0;0; N/A; N/A; 0.421;0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/dense_d56_r100000_cup98.txt;8580;56;0; sparse; ;28; d1; N/A; N/A;900;7;0;0; properties/ti_dbscan_ref_projection_0002.txt; logs/run_report_2012_10_28_13_49_7.txt
757.369; 757.353; N/A; 0.016;0; N/A; N/A; 0.421;0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/dense_d56_r100000_cup98.txt;8580;56;0; sparse; ;56; d1; N/A; N/A;900;7;0;0; properties/ti_dbscan_ref_projection_0003.txt; logs/run_report_2012_10_28_14_1_53.txt
2.261; 2.074; N/A; 0.187;0; N/A; N/A; 0.172;0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/dense_d2_r62556_sequoia.txt;8580;2;0; sparse; ;1; d1; N/A; N/A;900;7;0;0; properties/ti_dbscan_ref_projection_0004.txt; logs/run_report_2012_10_28_14_14_42.txt
2.247; 2.075; N/A; 0.172;0; N/A; N/A; 0.14;0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/dense_d2_r62556_sequoia.txt;8580;2;0; sparse; ;2; d1; N/A; N/A;900;7;0;0; properties/ti_dbscan_ref_projection_0005.txt; logs/run_report_2012_10_28_14_14_55.txt
4090.06; 4090.06; N/A;0;0; N/A; N/A; 0.921;0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt;8580;126373;0; sparse; ;1; d1; N/A; N/A;900;7;0;0; properties/ti_dbscan_ref_projection_0006.txt; logs/run_report_2012_10_28_14_15_9.txt
4069.19; 4069.17; N/A; 0.016;0; N/A; N/A; 0.999;0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt;8580;126373;0; sparse; ;63180; d1; N/A; N/A;900;7;0;0; properties/ti_dbscan_ref_projection_0007.txt; logs/run_report_2012_10_28_15_23_31.txt
N/A; N/A; N/A; N/A; N/A; N/A; N/A;0;0; N/A; ; ; false; ;0;0;0; sparse; ; N/A; N/A; N/A; N/A;0; N/A;0;0; properties/ti_dbscan_ref_projection_0008.txt; logs/run_report_2012_10_28_16_31_31.txt
42.791; 42.416; N/A; 0.156; 0.219; N/A; N/A; 0.25; 0.031; N/A; grouping; ti_dbscan; false; datasets/dense_d56_r100000_cup98.txt;8580;56;0; sparse; [max]; N/A; N/A; N/A; N/A;900;7;0;0; properties/ti_dbscan_0201.txt; logs/run_report_2012_10_28_17_55_29.txt
42.089; 41.964; N/A; 0.015; 0.11; N/A; N/A; 0.421; 0.016; N/A; grouping; ti_dbscan; false; datasets/dense_d56_r100000_cup98.txt;8580;56;0; sparse; [max]; N/A; N/A; N/A; N/A;900;7;0;0; properties/ti_dbscan_0202.txt; logs/run_report_2012_10_28_17_56_24.txt
42.151; 42.011; N/A; 0.016; 0.124; N/A; N/A; 0.39; 0.031; N/A; grouping; ti_dbscan; false; datasets/dense_d56_r100000_cup98.txt;8580;56;0; sparse; [max]; N/A; N/A; N/A; N/A;900;7;0;0; properties/ti_dbscan_0203.txt; logs/run_report_2012_10_28_17_57_17.txt
0.889; 0.265; N/A; 0.187; 0.437; N/A; N/A; 0.093;0; N/A; grouping; ti_dbscan; false; datasets/dense_d2_r62556_sequoia.txt;8580;2;0; sparse; [max]; N/A; N/A; N/A; N/A;900;7;0;0; properties/ti_dbscan_0204.txt; logs/run_report_2012_10_28_17_58_10.txt
2.59; 0.421; N/A; 0.219; 1.95; N/A; N/A; 0.109;0; N/A; grouping; ti_dbscan; false; datasets/dense_d2_r62556_sequoia.txt;8580;2;0; sparse; [max]; N/A; N/A; N/A; N/A;900;7;0;0; properties/ti_dbscan_0205.txt; logs/run_report_2012_10_28_17_58_22.txt
130.822; 130.135; N/A; 0.032; 0.655; N/A; N/A; 0.92; 260.589; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;8580;126373;0; sparse; [max]; N/A; N/A; N/A; N/A;900;7;0;0; properties/ti_dbscan_0206.txt; logs/run_report_2012_10_28_17_58_37.txt
130.993; 130.26; N/A; 0.016; 0.717; N/A; N/A; 1.014; 260.895; N/A; grouping; ti_dbscan; false; datasets/sparse_d126373_r8580_karypis_sport.txt;8580;126373;0; sparse; [max]; N/A; N/A; N/A; N/A;900;7;0;0; properties/ti_dbscan_0207.txt; logs/run_report_2012_10_28_18_5_20.txt
