Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
1.04; 1.03933; N/A; 0.000666667; 0; N/A; 0.117667; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__ti_dbscan_proj__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_48_44.txt
3.98133; 3.98033; N/A; 0.001; 0; N/A; 0.243667; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__ti_dbscan_proj__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_49_28.txt
16.9247; 16.9223; N/A; 0.00233333; 0; N/A; 0.491333; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 9.077; N/A; N/A; N/A; 5; 0; 0; false; properties/0003__ti_dbscan_proj__karypis_sport__sparse__4000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_51_8.txt
38.5207; 38.5167; N/A; 0.004; 0; N/A; 0.692; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 9.077; N/A; N/A; N/A; 5; 0; 0; false; properties/0004__ti_dbscan_proj__karypis_sport__sparse__6000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_54_30.txt
72.745; 72.7393; N/A; 0.005; 0; N/A; 0.934333; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 8000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 11.907; N/A; N/A; N/A; 5; 0; 0; false; properties/0005__ti_dbscan_proj__karypis_sport__sparse__8000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_19_0_30.txt
0.366; 0.365333; N/A; 0.000333333; 0; N/A; 0.079; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 500; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 5.862; N/A; N/A; N/A; 5; 0; 0; false; properties/0006__ti_dbscan_proj__karypis_review__sparse__500__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_19_2_11.txt
1.46567; 1.46533; N/A; 0.000333333; 0; N/A; 0.155667; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 12.228; N/A; N/A; N/A; 5; 0; 0; false; properties/0007__ti_dbscan_proj__karypis_review__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_19_2_44.txt
6.272; 6.27067; N/A; 0.001; 0; N/A; 0.329; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A; 5; 0; 0; false; properties/0008__ti_dbscan_proj__karypis_review__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_19_3_38.txt
14.1553; 14.153; N/A; 0.002; 0.000333333; N/A; 0.484333; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 3000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A; 5; 0; 0; false; properties/0009__ti_dbscan_proj__karypis_review__sparse__3000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_19_5_9.txt
25.314; 25.3113; N/A; 0.00233333; 0; N/A; 0.672333; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 4000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A; 5; 0; 0; false; properties/0010__ti_dbscan_proj__karypis_review__sparse__4000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_19_7_35.txt
