Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
1.04; 1.039; N/A; 0.001; 0; N/A; 0.103; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__ti_dbscan_proj__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_48_19.txt
1.039; 1.039; N/A; 0; 0; N/A; 0.121; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__ti_dbscan_proj__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_48_25.txt
1.042; 1.041; N/A; 0.001; 0; N/A; 0.116; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__ti_dbscan_proj__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_48_31.txt
1.04; 1.039; N/A; 0.001; 0; N/A; 0.116; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__ti_dbscan_proj__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_48_38.txt
1.04; 1.04; N/A; 0; 0; N/A; 0.125; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__ti_dbscan_proj__karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_48_44.txt
3.967; 3.966; N/A; 0.001; 0; N/A; 0.251; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__ti_dbscan_proj__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_48_50.txt
3.978; 3.977; N/A; 0.001; 0; N/A; 0.24; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__ti_dbscan_proj__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_49_0.txt
3.983; 3.982; N/A; 0.001; 0; N/A; 0.247; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__ti_dbscan_proj__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_49_9.txt
3.983; 3.982; N/A; 0.001; 0; N/A; 0.244; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__ti_dbscan_proj__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_49_18.txt
3.984; 3.983; N/A; 0.001; 0; N/A; 0.236; 0; N/A; grouping; ti_dbscan_ref_projection; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [0]; dmax; d1; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__ti_dbscan_proj__karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__dmax.txt; logs/run_report_2013_2_3_18_49_28.txt
