Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
0.284667; 0.265667; N/A; 0.00166667; 0.0166667; N/A; 0.113667; 27.1987; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0001__ti_dbscan_ref___karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_0_36_7.txt
1.201; 1.154; N/A; 0; 0.047; N/A; 0.244667; 52.8997; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0002__ti_dbscan_ref___karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_0_40_38.txt
6.547; 6.401; N/A; 0.0153333; 0.13; N/A; 0.489; 146.167; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 9.077; N/A; N/A; N/A; 5; 0; 0; false; properties/0003__ti_dbscan_ref___karypis_sport__sparse__4000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_0_52_12.txt
15.7873; 15.335; N/A; 0.021; 0.431667; N/A; 0.712333; 332.609; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 9.077; N/A; N/A; N/A; 5; 0; 0; false; properties/0004__ti_dbscan_ref___karypis_sport__sparse__6000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_1_18_31.txt
37.2113; 36.681; N/A; 0.031; 0.504667; N/A; 0.962333; 462.265; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 8000; 126373; 0; sparse; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 11.907; N/A; N/A; N/A; 5; 0; 0; false; properties/0005__ti_dbscan_ref___karypis_sport__sparse__8000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_1_58_14.txt
0.094; 0.078; N/A; 0; 0.016; N/A; 0.078; 18.4753; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 500; 126373; 0; sparse; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 5.862; N/A; N/A; N/A; 5; 0; 0; false; properties/0006__ti_dbscan_ref___karypis_review__sparse__500__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_2_8_14.txt
0.644333; 0.592333; N/A; 0; 0.047; N/A; 0.156; 37.4713; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 1000; 126373; 0; sparse; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 12.228; N/A; N/A; N/A; 5; 0; 0; false; properties/0007__ti_dbscan_ref___karypis_review__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_2_11_31.txt
3.52033; 3.432; N/A; 0.0103333; 0.078; N/A; 0.333; 80.371; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 2000; 126373; 0; sparse; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A; 5; 0; 0; false; properties/0008__ti_dbscan_ref___karypis_review__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_2_18_13.txt
7.98733; 7.83633; N/A; 0.016; 0.14; N/A; 0.5; 213.309; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 3000; 126373; 0; sparse; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A; 5; 0; 0; false; properties/0009__ti_dbscan_ref___karypis_review__sparse__3000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_2_34_52.txt
14.493; 14.217; N/A; 0.016; 0.259667; N/A; 0.681; 319.65; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 4000; 126373; 0; sparse; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A; 5; 0; 0; false; properties/0010__ti_dbscan_ref___karypis_review__sparse__4000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_3_1_20.txt
0.160667; 0.031; N/A; 0.00533333; 0.124333; N/A; 0.031; 0; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d55_r581012_covtype.txt; 1000; 55; 0; dense; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 430.547; N/A; N/A; N/A; 5; 0; 0; false; properties/0011__ti_dbscan_ref___covtype__dense__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_3_7_21.txt
9.71367; 1.81467; N/A; 0.129667; 7.78967; N/A; 0.14; 0; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d55_r581012_covtype.txt; 5000; 55; 0; dense; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 440.908; N/A; N/A; N/A; 5; 0; 0; false; properties/0012__ti_dbscan_ref___covtype__dense__5000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_3_8_30.txt
64.298; 42.7027; N/A; 0.39; 27.8877; N/A; 0.343333; 0.005; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d55_r581012_covtype.txt; 10000; 55; 0; dense; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 440.908; N/A; N/A; N/A; 5; 0; 0; false; properties/0013__ti_dbscan_ref___covtype__dense__10000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_3_13_54.txt
15.9433; 15.0957; N/A; 0.0366667; 0.847333; N/A; 1.38833; 0.0156667; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d55_r581012_covtype.txt; 30000; 55; 0; dense; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 441.658; N/A; N/A; N/A; 5; 0; 0; false; properties/0014__ti_dbscan_ref___covtype__dense__30000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_3_17_43.txt
41.8283; 40.0243; N/A; 0.078; 1.76267; N/A; 1.955; 0.073; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d55_r581012_covtype.txt; 60000; 55; 0; dense; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 441.658; N/A; N/A; N/A; 5; 0; 0; false; properties/0015__ti_dbscan_ref___covtype__dense__60000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_3_23_54.txt
1.18033; 0.832333; N/A; 0.005; 0.337667; N/A; 0.0363333; 0; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r96367_cup98.txt; 1000; 56; 0; dense; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 425.288; N/A; N/A; N/A; 5; 0; 0; false; properties/0016__ti_dbscan_ref__cup98__dense__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_3_25_33.txt
235.191; 228.983; N/A; 0.192333; 6.01633; N/A; 0.171; 0; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r96367_cup98.txt; 5000; 56; 0; dense; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 426.744; N/A; N/A; N/A; 5; 0; 0; false; properties/0017__ti_dbscan_ref__cup98__dense__5000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_3_39_15.txt
350.891; 324.517; N/A; 0.436667; 25.9063; N/A; 0.400333; 0; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r96367_cup98.txt; 10000; 56; 0; dense; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 426.744; N/A; N/A; N/A; 5; 0; 0; false; properties/0018__ti_dbscan_ref__cup98__dense__10000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_4_3_47.txt
2239.33; 2238.31; N/A; 0.0416667; 0.993; N/A; 1.503; 0.0153333; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r96367_cup98.txt; 30000; 56; 0; dense; [min][max]; N/A; N/A; N/A; N/A; false; N/A; 426.744; N/A; N/A; N/A; 5; 0; 0; false; properties/0019__ti_dbscan_ref__cup98__dense__30000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_max.txt; logs/run_report_2013_1_25_6_57_9.txt
0.306667; 0.275667; N/A; 0.005; 0.031; N/A; 0.109333; 27.4717; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0021__ti_dbscan_ref___karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_7_37_28.txt
1.26867; 1.149; N/A; 0.0256667; 0.0936667; N/A; 0.213; 53.3053; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0022__ti_dbscan_ref___karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_7_42_2.txt
6.599; 6.448; N/A; 0.0153333; 0.130333; N/A; 0.452667; 149.36; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 9.077; N/A; N/A; N/A; 5; 0; 0; false; properties/0023__ti_dbscan_ref___karypis_sport__sparse__4000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_7_53_47.txt
15.884; 15.4323; N/A; 0.019; 0.431; N/A; 0.706667; 336.135; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 6000; 126373; 0; sparse; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 9.077; N/A; N/A; N/A; 5; 0; 0; false; properties/0024__ti_dbscan_ref___karypis_sport__sparse__6000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_8_20_21.txt
37.409; 36.8213; N/A; 0.031; 0.556333; N/A; 0.962; 464.055; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 8000; 126373; 0; sparse; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 11.907; N/A; N/A; N/A; 5; 0; 0; false; properties/0025__ti_dbscan_ref___karypis_sport__sparse__8000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_9_0_20.txt
0.0886667; 0.078; N/A; 0; 0.0106667; N/A; 0.078; 18.5067; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 500; 126373; 0; sparse; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 5.862; N/A; N/A; N/A; 5; 0; 0; false; properties/0026__ti_dbscan_ref___karypis_review__sparse__500__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_9_10_23.txt
0.639333; 0.598; N/A; 0; 0.031; N/A; 0.140333; 37.6067; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 1000; 126373; 0; sparse; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 12.228; N/A; N/A; N/A; 5; 0; 0; false; properties/0027__ti_dbscan_ref___karypis_review__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_9_13_40.txt
3.588; 3.442; N/A; 0.0103333; 0.135; N/A; 0.312; 81.146; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 2000; 126373; 0; sparse; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A; 5; 0; 0; false; properties/0028__ti_dbscan_ref___karypis_review__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_9_20_25.txt
8.01367; 7.847; N/A; 0.0156667; 0.156; N/A; 0.468; 213.601; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 3000; 126373; 0; sparse; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A; 5; 0; 0; false; properties/0029__ti_dbscan_ref___karypis_review__sparse__3000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_9_37_5.txt
14.4977; 14.2273; N/A; 0.0156667; 0.255; N/A; 0.64; 320.128; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r4069_karypis_reviews.txt; 4000; 126373; 0; sparse; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 14.028; N/A; N/A; N/A; 5; 0; 0; false; properties/0030__ti_dbscan_ref___karypis_review__sparse__4000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_10_3_36.txt
0.0626667; 0.016; N/A; 0; 0.047; N/A; 0.031; 0; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d55_r581012_covtype.txt; 1000; 55; 0; dense; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 430.547; N/A; N/A; N/A; 5; 0; 0; false; properties/0031__ti_dbscan_ref___covtype__dense__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_10_9_37.txt
10.8153; 5.366; N/A; 0.078; 5.37133; N/A; 0.125; 0; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d55_r581012_covtype.txt; 5000; 55; 0; dense; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 440.908; N/A; N/A; N/A; 5; 0; 0; false; properties/0032__ti_dbscan_ref___covtype__dense__5000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_10_10_43.txt
43.6643; 22.24; N/A; 0.281; 21.143; N/A; 0.265333; 0.005; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d55_r581012_covtype.txt; 10000; 55; 0; dense; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 440.908; N/A; N/A; N/A; 5; 0; 0; false; properties/0033__ti_dbscan_ref___covtype__dense__10000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_10_14_11.txt
17.035; 16.2083; N/A; 0.0413333; 0.863333; N/A; 1.20633; 0.0156667; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d55_r581012_covtype.txt; 30000; 55; 0; dense; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 441.658; N/A; N/A; N/A; 5; 0; 0; false; properties/0034__ti_dbscan_ref___covtype__dense__30000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_10_18_58.txt
35.8543; 34.492; N/A; 0.078; 1.90333; N/A; 2.36633; 0.073; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d55_r581012_covtype.txt; 60000; 55; 0; dense; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 441.658; N/A; N/A; N/A; 5; 0; 0; false; properties/0035__ti_dbscan_ref___covtype__dense__60000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_10_27_3.txt
1.38833; 1.23233; N/A; 0; 0.114333; N/A; 0.0363333; 0; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r96367_cup98.txt; 1000; 56; 0; dense; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 425.288; N/A; N/A; N/A; 5; 0; 0; false; properties/0036__ti_dbscan_ref__cup98__dense__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_10_28_21.txt
136.183; 134.758; N/A; 0.0936667; 1.321; N/A; 0.145333; 0.00533333; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r96367_cup98.txt; 5000; 56; 0; dense; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 426.744; N/A; N/A; N/A; 5; 0; 0; false; properties/0037__ti_dbscan_ref__cup98__dense__5000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_10_36_29.txt
242.549; 240.011; N/A; 0.291333; 2.241; N/A; 0.338; 0; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r96367_cup98.txt; 10000; 56; 0; dense; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 426.744; N/A; N/A; N/A; 5; 0; 0; false; properties/0038__ti_dbscan_ref__cup98__dense__10000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_11_3_21.txt
1779.01; 1778.21; N/A; 0.0416667; 0.826667; N/A; 1.39367; 0.016; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r96367_cup98.txt; 30000; 56; 0; dense; [min][rand]; N/A; N/A; N/A; N/A; false; N/A; 426.744; N/A; N/A; N/A; 5; 0; 0; false; properties/0039__ti_dbscan_ref__cup98__dense__30000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_rand.txt; logs/run_report_2013_1_25_13_52_44.txt
0.302; 0.275333; N/A; 0.005; 0.021; N/A; 0.109; 27.5967; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 1000; 126373; 0; sparse; [min][max_min]; N/A; N/A; N/A; N/A; false; N/A; 6.306; N/A; N/A; N/A; 5; 0; 0; false; properties/0041__ti_dbscan_ref___karypis_sport__sparse__1000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_maxin.txt; logs/run_report_2013_1_25_14_26_37.txt
1.279; 1.18033; N/A; 0.026; 0.0726667; N/A; 0.203; 53.5447; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 2000; 126373; 0; sparse; [min][max_min]; N/A; N/A; N/A; N/A; false; N/A; 7.011; N/A; N/A; N/A; 5; 0; 0; false; properties/0042__ti_dbscan_ref___karypis_sport__sparse__2000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_maxin.txt; logs/run_report_2013_1_25_14_31_11.txt
6.682; 6.42767; N/A; 0.052; 0.161; N/A; 0.421; 149.948; N/A; grouping; ti_dbscan_ref; false; datasets/sparse_d126373_r8580_karypis_sport.txt; 4000; 126373; 0; sparse; [min][max_min]; N/A; N/A; N/A; N/A; false; N/A; 9.077; N/A; N/A; N/A; 5; 0; 0; false; properties/0043__ti_dbscan_ref___karypis_sport__sparse__4000__no_cos__Eps_1_20__Min_Pts_5__dataset_sort__Rmin_maxin.txt; logs/run_report_2013_1_25_14_43_0.txt
