Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Positioning [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Placement Method; K; Eps; MinPts; P Sample Index; S Sample Index; Properties File Path; Report File Path
43.122; 42.758; N/A; 0.178; 0.186; N/A; N/A; 0.262; 0.035; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r100000_cup98.txt; 8580; 56; 0; sparse; [max][min]; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/ti_dbscan_ref_0001.txt; logs/run_report_2012_10_29_20_9_17.txt
42.367; 42.224; N/A; 0.023; 0.12; N/A; N/A; 0.426; 0.037; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r100000_cup98.txt; 8580; 56; 0; sparse; [max][rand]; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/ti_dbscan_ref_0002.txt; logs/run_report_2012_10_29_20_10_12.txt
42.753; 42.608; N/A; 0.02; 0.125; N/A; N/A; 0.478; 0.036; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r100000_cup98.txt; 8580; 56; 0; sparse; [min][max]; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/ti_dbscan_ref_0003.txt; logs/run_report_2012_10_29_20_11_6.txt
43.197; 43.053; N/A; 0.02; 0.124; N/A; N/A; 0.521; 0.037; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r100000_cup98.txt; 8580; 56; 0; sparse; [min][rand]; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/ti_dbscan_ref_0004.txt; logs/run_report_2012_10_29_20_12_0.txt
42.401; 42.263; N/A; 0.023; 0.115; N/A; N/A; 0.463; 0.037; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r100000_cup98.txt; 8580; 56; 0; sparse; [rand][max]; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/ti_dbscan_ref_0005.txt; logs/run_report_2012_10_29_20_12_54.txt
42.729; 42.588; N/A; 0.02; 0.121; N/A; N/A; 0.464; 0.042; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r100000_cup98.txt; 8580; 56; 0; sparse; [rand][min]; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/ti_dbscan_ref_0006.txt; logs/run_report_2012_10_29_20_13_48.txt
42.451; 42.298; N/A; 0.03; 0.123; N/A; N/A; 0.415; 0.054; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r100000_cup98.txt; 8580; 56; 0; sparse; [max][min][rand]; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/ti_dbscan_ref_0007.txt; logs/run_report_2012_10_29_20_14_41.txt
42.353; 42.203; N/A; 0.03; 0.12; N/A; N/A; 0.393; 0.056; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r100000_cup98.txt; 8580; 56; 0; sparse; [max][rand][min]; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/ti_dbscan_ref_0008.txt; logs/run_report_2012_10_29_20_15_35.txt
42.799; 42.644; N/A; 0.03; 0.125; N/A; N/A; 0.445; 0.054; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r100000_cup98.txt; 8580; 56; 0; sparse; [min][max][rand]; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/ti_dbscan_ref_0009.txt; logs/run_report_2012_10_29_20_16_29.txt
42.722; 42.568; N/A; 0.031; 0.123; N/A; N/A; 0.427; 0.054; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r100000_cup98.txt; 8580; 56; 0; sparse; [min][rand][max]; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/ti_dbscan_ref_0010.txt; logs/run_report_2012_10_29_20_17_23.txt
42.427; 42.268; N/A; 0.031; 0.128; N/A; N/A; 0.459; 0.065; N/A; grouping; ti_dbscan_ref; false; datasets/dense_d56_r100000_cup98.txt; 8580; 56; 0; sparse; [rand][min][max]; N/A; N/A; N/A; N/A; 900; 7; 0; 0; properties/ti_dbscan_ref_0011.txt; logs/run_report_2012_10_29_20_18_16.txt
