Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
0.205667; 0.204333;0;0;0; N/A; 0.109333; 13.6663; 0.001; classification; ti_k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; [max]; N/A; N/A;10; binary; true;5; N/A;2; 18.9712; 43.1045; N/A;0;0; false; properties/0001__ti_k_neighborhood__karypis_sport__sparse__1000__no_cos__10__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2012_12_15_21_6_1.txt
0.680333; 0.674;0; 0.00433333;0; N/A; 0.234667; 26.855; 0.00633333; classification; ti_k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; [max]; N/A; N/A;10; binary; true;5; N/A; 1.41421; 19.1153; 50.4777; N/A;0;0; false; properties/0002__ti_k_neighborhood__karypis_sport__sparse__2000__no_cos__10__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2012_12_15_21_8_57.txt
2.825; 2.81333;0; 0.01; 0.001; N/A; 0.487667; 78.3933; 0.042; classification; ti_k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;4000;126373;0; sparse; [max]; N/A; N/A;10; binary; true;5; N/A; 1.41421; 20.5356; 79.9812; N/A;0;0; false; properties/0003__ti_k_neighborhood__karypis_sport__sparse__4000__no_cos__10__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2012_12_15_21_15_52.txt
6.887; 6.87;0; 0.0156667; 0.00133333; N/A; 0.745; 168.122; 0.096; classification; ti_k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;6000;126373;0; sparse; [max]; N/A; N/A;10; binary; true;5; N/A;1; 21.3759; 79.9812; N/A;0;0; false; properties/0004__ti_k_neighborhood__karypis_sport__sparse__6000__no_cos__10__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2012_12_15_21_29_51.txt
13.2263; 13.2023;0; 0.0233333; 0.002; N/A; 0.997667; 233.56; 0.193667; classification; ti_k_neighborhood; false; datasets/sparse_d126373_r8580_karypis_sport.txt;8000;126373;0; sparse; [max]; N/A; N/A;10; binary; true;5; N/A;1; 21.7453; 85.1822; N/A;0;0; false; properties/0005__ti_k_neighborhood__karypis_sport__sparse__8000__no_cos__10__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2012_12_15_21_50_17.txt
0.0673333; 0.0656667;0; 0.002;0; N/A; 0.0896667; 9.286; 0.00133333; classification; ti_k_neighborhood; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;500;126373;0; sparse; [max]; N/A; N/A;10; binary; true;5; N/A; 10.9087; 30.3137; 63.1744; N/A;0;0; false; properties/0006__ti_k_neighborhood__karypis_reviews__sparse__500__no_cos__10__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2012_12_15_21_55_54.txt
0.249667; 0.246333;0; 0.003;0; N/A; 0.151667; 18.941; 0.006; classification; ti_k_neighborhood; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;1000;126373;0; sparse; [max]; N/A; N/A;10; binary; true;5; N/A; 10.3441; 29.6263; 62.1611; N/A;0;0; false; properties/0007__ti_k_neighborhood__karypis_reviews__sparse__1000__no_cos__10__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2012_12_15_21_58_12.txt
1.10533; 1.09933;0; 0.006;0; N/A; 0.319333; 41.251; 0.0113333; classification; ti_k_neighborhood; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;2000;126373;0; sparse; [max]; N/A; N/A;10; binary; true;5; N/A;4; 27.5602; 62.1611; N/A;0;0; false; properties/0008__ti_k_neighborhood__karypis_reviews__sparse__2000__no_cos__10__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2012_12_15_22_2_15.txt
2.39433; 2.38533;0; 0.008; 0.001; N/A; 0.469667; 109.436; 0.0143333; classification; ti_k_neighborhood; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;3000;126373;0; sparse; [max]; N/A; N/A;10; binary; true;5; N/A;4; 25.3138; 65.6354; N/A;0;0; false; properties/0009__ti_k_neighborhood__karypis_reviews__sparse__3000__no_cos__10__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2012_12_15_22_11_19.txt
4.34667; 4.33367;0; 0.0113333; 0.001; N/A; 0.631667; 162.282; 0.026; classification; ti_k_neighborhood; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;4000;126373;0; sparse; [max]; N/A; N/A;10; binary; true;5; N/A;4; 26.0571; 113.578; N/A;0;0; false; properties/0010__ti_k_neighborhood__karypis_reviews__sparse__4000__no_cos__10__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2012_12_15_22_25_15.txt
0.547667; 0.390667; 0.000333333; 0.153; 0.00266667; N/A; 0.252667; 0.003; 0.176333; classification; ti_k_neighborhood; false; datasets/dense_d55_r581012_covtype.txt;10000;55;0; dense; [max]; N/A; N/A;10; binary; true;5; N/A; 41.7971; 160.27; 541.394; N/A;0;0; false; properties/0011__ti_k_neighborhood__covtype__dense__10000__no_cos__10__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2012_12_15_22_29_7.txt
7.789; 5.40033; 0.001; 2.33333; 0.0153333; N/A; 1.90733; 0.023; 1.22667; classification; ti_k_neighborhood; false; datasets/dense_d55_r581012_covtype.txt;50000;55;0; dense; [max]; N/A; N/A;10; binary; true;5; N/A; 26.2869; 79.0121; 723.55; N/A;0;0; false; properties/0012__ti_k_neighborhood__covtype__dense__50000__no_cos__10__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2012_12_15_22_31_45.txt
