Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
3.245; 3.042; 0; 0.203; 0; N/A; 0.202; 0; 1.092; classification; ti_k_neighborhood; true; datasets/dense_d55_r581012_covtype.txt; 10000; 55; 0; dense; [max]; N/A; N/A; 50; binary; true; 5; 1.41421; 65.7715; 331.426; 1122.19; N/A; 0; 0; false; properties/0231__ti_k_neighborhood__covtype__dense__10000__cos__50__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2013_2_14_7_34_21.txt
3.369; 2.839; 0; 0.53; 0; N/A; 0.296; 0.016; 1.045; classification; ti_k_neighborhood; true; datasets/dense_d55_r581012_covtype.txt; 10000; 55; 0; dense; [max]; N/A; N/A; 50; binary; true; 5; 1.41421; 65.7715; 331.426; 1122.19; N/A; 0; 0; false; properties/0231__ti_k_neighborhood__covtype__dense__10000__cos__50__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2013_2_14_7_34_37.txt
2.028; 1.638; 0; 0.374; 0.016; N/A; 0.452; 0.016; 1.123; classification; ti_k_neighborhood; true; datasets/dense_d55_r581012_covtype.txt; 10000; 55; 0; dense; [max]; N/A; N/A; 50; binary; true; 5; 1.41421; 65.7715; 331.426; 1122.19; N/A; 0; 0; false; properties/0231__ti_k_neighborhood__covtype__dense__10000__cos__50__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2013_2_14_7_34_51.txt
2.371; 2.106; 0; 0.265; 0; 0.015; 0.484; 0; 1.108; classification; ti_k_neighborhood; true; datasets/dense_d55_r581012_covtype.txt; 10000; 55; 0; dense; [max]; N/A; N/A; 50; binary; true; 5; 1.41421; 65.7715; 331.426; 1122.19; N/A; 0; 0; false; properties/0231__ti_k_neighborhood__covtype__dense__10000__cos__50__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2013_2_14_7_35_4.txt
2.917; 2.589; 0; 0.328; 0; N/A; 0.484; 0; 1.139; classification; ti_k_neighborhood; true; datasets/dense_d55_r581012_covtype.txt; 10000; 55; 0; dense; [max]; N/A; N/A; 50; binary; true; 5; 1.41421; 65.7715; 331.426; 1122.19; N/A; 0; 0; false; properties/0231__ti_k_neighborhood__covtype__dense__10000__cos__50__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2013_2_14_7_35_18.txt
35.58; 33.474; 0; 2.091; 0.015; 0.015; 1.295; 0.032; 9.688; classification; ti_k_neighborhood; true; datasets/dense_d55_r581012_covtype.txt; 50000; 55; 0; dense; [max]; N/A; N/A; 50; binary; true; 5; 1.41421; 8.6339; 137.289; 1129.17; N/A; 0; 0; false; properties/0232__ti_k_neighborhood__covtype__dense__50000__cos__50__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2013_2_14_7_35_32.txt
40.841; 37.502; 0; 3.323; 0.016; 0.031; 1.592; 0.015; 9.391; classification; ti_k_neighborhood; true; datasets/dense_d55_r581012_covtype.txt; 50000; 55; 0; dense; [max]; N/A; N/A; 50; binary; true; 5; 1.41421; 8.6339; 137.289; 1129.17; N/A; 0; 0; false; properties/0232__ti_k_neighborhood__covtype__dense__50000__cos__50__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2013_2_14_7_37_1.txt
35.818; 32.948; 0; 2.855; 0.015; 0.015; 1.545; 0.032; 9.859; classification; ti_k_neighborhood; true; datasets/dense_d55_r581012_covtype.txt; 50000; 55; 0; dense; [max]; N/A; N/A; 50; binary; true; 5; 1.41421; 8.6339; 137.289; 1129.17; N/A; 0; 0; false; properties/0232__ti_k_neighborhood__covtype__dense__50000__cos__50__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2013_2_14_7_38_25.txt
37.3; 34.242; 0; 3.042; 0.016; 0.016; 1.872; 0.031; 10.124; classification; ti_k_neighborhood; true; datasets/dense_d55_r581012_covtype.txt; 50000; 55; 0; dense; [max]; N/A; N/A; 50; binary; true; 5; 1.41421; 8.6339; 137.289; 1129.17; N/A; 0; 0; false; properties/0232__ti_k_neighborhood__covtype__dense__50000__cos__50__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2013_2_14_7_39_44.txt
36.13; 33.228; 0; 2.886; 0.016; 0.032; 1.762; 0.031; 9.516; classification; ti_k_neighborhood; true; datasets/dense_d55_r581012_covtype.txt; 50000; 55; 0; dense; [max]; N/A; N/A; 50; binary; true; 5; 1.41421; 8.6339; 137.289; 1129.17; N/A; 0; 0; false; properties/0232__ti_k_neighborhood__covtype__dense__50000__cos__50__binary_placement__K5__index_access__Rmax.txt; logs/run_report_2013_2_14_7_41_4.txt
