Algorithm Execution [s]; Clustering [s]; Index Building [s]; Distance Calculation [s]; Points Sorting [s]; Normalization [s]; Datafile Reading [s]; Reference Points Calculation [s]; Positioning [s]; Algorithm Type; Algorithm Name; Use Cosine Similarity; Dataset File Path; Dataset Size; Dataset Maximal Dimension; Dataset Dimension Value Treshold; Dataset Internal Representation; Reference Points; Projection Dimensions; Projection Source Sequence; Classification Subset Factor; Placement Method; Use Dataset Index Access; K; Eps; minEps; avgEps; maxEps; MinPts; P Sample Index; S Sample Index; Use Boundaries; Properties File Path; Report File Path
0.296; 0.218; 0.078; N/A; N/A; N/A; 0.104; N/A; N/A; classification; vp_tree; false; datasets/sparse_d126373_r8580_karypis_sport.txt;1000;126373;0; sparse; N/A; N/A; N/A;10; linear; false;5; N/A;2; 18.8641; 43.1045; N/A;10;10; true; properties/0001__vp_tree__karypis_sport__sparse__1000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_0_47.txt
0.988; 0.821667; 0.166333; N/A; N/A; N/A; 0.228667; N/A; N/A; classification; vp_tree; false; datasets/sparse_d126373_r8580_karypis_sport.txt;2000;126373;0; sparse; N/A; N/A; N/A;10; linear; false;5; N/A; 1.41421; 18.1934; 50.4777; N/A;10;10; true; properties/0002__vp_tree__karypis_sport__sparse__2000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_1_43.txt
3.874; 3.51; 0.369; N/A; N/A; N/A; 0.676333; N/A; N/A; classification; vp_tree; false; datasets/sparse_d126373_r8580_karypis_sport.txt;4000;126373;0; sparse; N/A; N/A; N/A;10; linear; false;5; N/A; 1.41421; 19.1938; 79.9812; N/A;10;10; true; properties/0003__vp_tree__karypis_sport__sparse__4000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_2_55.txt
8.689; 8.107; 0.577; N/A; N/A; N/A; 1.91367; N/A; N/A; classification; vp_tree; false; datasets/sparse_d126373_r8580_karypis_sport.txt;6000;126373;0; sparse; N/A; N/A; N/A;10; linear; false;5; N/A;1; 19.6136; 79.9812; N/A;10;10; true; properties/0004__vp_tree__karypis_sport__sparse__6000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_4_38.txt
15.5377; 14.7683; 0.774333; N/A; N/A; N/A; 4.17033; N/A; N/A; classification; vp_tree; false; datasets/sparse_d126373_r8580_karypis_sport.txt;8000;126373;0; sparse; N/A; N/A; N/A;10; linear; false;5; N/A;1; 19.9234; 85.1822; N/A;10;10; true; properties/0005__vp_tree__karypis_sport__sparse__8000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_7_10.txt
0.27; 0.078; 0.192; N/A; N/A; N/A; 0.78; N/A; N/A; classification; vp_tree; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;500;126373;0; sparse; N/A; N/A; N/A;10; linear; false;5; N/A; 10.9087; 30.2899; 63.1744; N/A;10;10; true; properties/0006__vp_tree__karypis_reviews__sparse__500__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_8_30.txt
0.675667; 0.296; 0.379333; N/A; N/A; N/A; 1.508; N/A; N/A; classification; vp_tree; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;1000;126373;0; sparse; N/A; N/A; N/A;10; linear; false;5; N/A; 10.3441; 29.5567; 62.1611; N/A;10;10; true; properties/0007__vp_tree__karypis_reviews__sparse__1000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_9_37.txt
1.981; 1.326; 0.66; N/A; N/A; N/A; 2.94333; N/A; N/A; classification; vp_tree; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;2000;126373;0; sparse; N/A; N/A; N/A;10; linear; false;5; N/A;4; 27.018; 62.1611; N/A;10;10; true; properties/0008__vp_tree__karypis_reviews__sparse__2000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_10_59.txt
3.62933; 2.94867; 0.681; N/A; N/A; N/A; 3.32267; N/A; N/A; classification; vp_tree; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;3000;126373;0; sparse; N/A; N/A; N/A;10; linear; false;5; N/A;4; 25.0673; 65.6354; N/A;10;10; true; properties/0009__vp_tree__karypis_reviews__sparse__3000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_12_33.txt
5.83967; 5.247; 0.593; N/A; N/A; N/A; 3.49967; N/A; N/A; classification; vp_tree; false; datasets/sparse_d126373_r4069_karypis_reviews.txt;4000;126373;0; sparse; N/A; N/A; N/A;10; linear; false;5; N/A;4; 25.0054; 113.578; N/A;10;10; true; properties/0010__vp_tree__karypis_reviews__sparse__4000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_14_17.txt
0.728; 0.307; 0.421; N/A; N/A; N/A; 0.234; N/A; N/A; classification; vp_tree; false; datasets/dense_d56_r96367_cup98.txt;10000;56;0; dense; N/A; N/A; N/A;10; linear; false;5; N/A; 14.5258; 62.2728; 330.884; N/A;10;10; true; properties/0011__vp_tree__cup98__dense__10000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_15_23.txt
4.174; 2.81233; 1.366; N/A; N/A; N/A; 0.698333; N/A; N/A; classification; vp_tree; false; datasets/dense_d56_r96367_cup98.txt;30000;56;0; dense; N/A; N/A; N/A;10; linear; false;5; N/A; 14.3875; 50.9152; 288.494; N/A;10;10; true; properties/0012__vp_tree__cup98__dense__30000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_16_36.txt
10.6493; 7.76567; 2.44967; N/A; N/A; N/A; 1.16533; N/A; N/A; classification; vp_tree; false; datasets/dense_d56_r96367_cup98.txt;50000;56;0; dense; N/A; N/A; N/A;10; linear; false;5; N/A; 2.82843; 45.9301; 293.752; N/A;10;10; true; properties/0013__vp_tree__cup98__dense__50000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_18_24.txt
21.9923; 16.7897; 3.71; N/A; N/A; N/A; 1.62767; N/A; N/A; classification; vp_tree; false; datasets/dense_d56_r96367_cup98.txt;70000;56;0; dense; N/A; N/A; N/A;10; linear; false;5; N/A;2; 42.8258; 330.429; N/A;10;10; true; properties/0014__vp_tree__cup98__dense__70000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_21_10.txt
40.3023; 33.836; 5.50733; N/A; N/A; N/A; 2.53033; N/A; N/A; classification; vp_tree; false; datasets/dense_d56_r96367_cup98.txt;100000;56;0; dense; N/A; N/A; N/A;10; linear; false;5; N/A;2; 39.5195; 322.205; N/A;10;10; true; properties/0015__vp_tree__cup98__dense__100000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_25_59.txt
0.855333; 0.297667; 0.561333; N/A; N/A; N/A; 0.196667; N/A; N/A; classification; vp_tree; false; datasets/dense_d55_r581012_covtype.txt;10000;55;0; dense; N/A; N/A; N/A;10; linear; false;5; N/A; 41.7971; 160.27; 541.394; N/A;10;10; true; properties/0016__vp_tree__covtype__dense__10000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_27_38.txt
5.083; 2.24067; 2.76967; N/A; N/A; N/A; 0.893667; N/A; N/A; classification; vp_tree; false; datasets/dense_d55_r581012_covtype.txt;50000;55;0; dense; N/A; N/A; N/A;10; linear; false;5; N/A; 26.2869; 79.0121; 723.55; N/A;10;10; true; properties/0017__vp_tree__covtype__dense__50000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_28_56.txt
14.5757; 7.703; 6.50133; N/A; N/A; N/A; 1.85833; N/A; N/A; classification; vp_tree; false; datasets/dense_d55_r581012_covtype.txt;100000;55;0; dense; N/A; N/A; N/A;10; linear; false;5; N/A; 26.2869; 64.3868; 723.55; N/A;10;10; true; properties/0018__vp_tree__covtype__dense__100000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_31_21.txt
107.732; 70.103; 36.4223; N/A; N/A; N/A; 6.153; N/A; N/A; classification; vp_tree; false; datasets/dense_d55_r581012_covtype.txt;300000;55;0; dense; N/A; N/A; N/A;10; linear; false;5; N/A; 8.77496; 51.8688; 723.55; N/A;10;10; true; properties/0019__vp_tree__covtype__dense__300000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_17_41_54.txt
253.721; 180.813; 68.5623; N/A; N/A; N/A; 13.512; N/A; N/A; classification; vp_tree; false; datasets/dense_d55_r581012_covtype.txt;500000;55;0; dense; N/A; N/A; N/A;10; linear; false;5; N/A; 8.77496; 48.9148; 723.55; N/A;10;10; true; properties/0020__vp_tree__covtype__dense__500000__no_cos__10__K5__P10__S10__use_boundaries.txt; logs/run_report_2012_12_15_18_2_14.txt
